Work_ID,Work_Name,Movement_Name,Track Title
50677,"Guitar Concerto No. 2 ""Paganini Variations""","Var. 3, —",
50677,"Guitar Concerto No. 2 ""Paganini Variations""","Var. 12, —",
50694,"Monodie, I/45a",,
50707,Cinna (Arr. for Guitar),,
50721,"Images I ""Black Angels – 13 Images from the Dark Land"", Pt. 2 ""Absence""","No. 8, Sarabanda de la Muerte Oscura",
50757,2 Ballads,"No. 1, Andante ""Simple and Direct""",
50768,Joshua Variations,"Var. 3, Under the Waterfall ""Bathtime""",
50770,"Mundus canis ""A Dog's World""",V. Yoda,
50796,Lido Tango,,
50800,Valse caprice No. 1,,
50805,Light and Shadow Waltz,,
50819,Dolores Waltz,,
50834,"Sonata for Piano 4 Hands in C Major, K. 521",II. Andante,
50835,"Sonata for Piano 4 Hands in F Major, K. 497",I. Adagio - Allegro di molto,
50838,"Piano Sonata No. 21 in B-Flat Major, D. 960",I. Molto moderato,
50838,"Piano Sonata No. 21 in B-Flat Major, D. 960",IV. Allegro ma non troppo,
50838,"Piano Sonata No. 21 in B-Flat Major, D. 960",III. Scherzo. Allegro vivace con delicatezza,
50854,"Piano Sonata No. 30 in E Major, Op. 109",III. Andante molto cantabile ed espressivo,
50855,"Piano Sonata No. 31 in A-Flat Major, Op. 110",II. Allegro molto,
50855,"Piano Sonata No. 31 in A-Flat Major, Op. 110",III. Adagio ma non troppo,
50855,"Piano Sonata No. 31 in A-Flat Major, Op. 110","IV. Fuga. Allegro, ma non troppo",
50855,"Piano Sonata No. 31 in A-Flat Major, Op. 110",I. Moderato cantabile molto espressivo,
50855,"Piano Sonata No. 32 in C Minor, Op. 111",I. Maestoso - Allegro con brio ed appassionato,
50862,"Piano Sonata No. 10 in C Major, K. 330",I. Allegro moderato,
50867,Wexford Carol (Arr. J. Rutter for Choir),,
50877,"Makrokosmos I, Pt. 2",V. The Phantom Gondolier (Scorpio),
50879,"6 Pieces, Op. 41","No. 4, Cascades",
50880,Mirabai Songs,"No. 4, Where Did You Go?",
50880,Mirabai Songs,"No. 2, All I Was Doing Was Breathing",
50881,"Suleika II (Ach um deine feuchten Schwingen), Op. 31, D. 717",,
50881,"Suleika II, Op. 31, D. 717 ""Ach um deine feuchten Schwingen""",,
50884,"Unvergänglichkeit, Op. 27",I. Unvergänglichkeit I,
50885,3 Painters,I. Marc Chagall,
50896,"Études, Book 5","No. 46, Durchrauscht die Luft",
50898,Counterfeit Curio,,
50909,Waking Dances,I. —,
50914,The Root,,
50924,Ancient Voices of Children,II. Me He Perdido Muchas Veces por el Mar,
50924,A Little Midnight Music,II. Charade,
50924,A Little Midnight Music,V. Incantation,
50935,"Piano Concerto No. 1, Sz. 83",III. Allegro molto,
50979,Tempo e tempi,I. Tempo e tempi,
50979,Tempo e tempi,"No. 3, Oboe sommerso",
50979,"Fantasia in C Minor, K. 475",,
50988,Zeitgeist,"I. Portent. Molto moderato, il ritmo ben marcato",
50992,"Symphony No. 6 in B Minor, Op. 74, TH 30 ""Pathétique""",III. Allegro molto vivace,
50996,"Symphony No. 36 in C Major, K. 425 ""Linz""",IV. Presto,
51017,"Waltz in D-Flat Major, Op. 64 No. 1 ""Minute""",,
51022,"Ballade No. 3 in A-Flat Major, Op. 47",,
51025,"Waltz in C-Sharp Minor, Op. 64 No. 2",,
51026,"Polonaise in A-Flat Major, Op. 53 ""Heroic"" (Abridged)",,
51026,"Polonaise in A-Flat Major, Op. 53 ""Héroïque""",,
51029,"Le carnaval romain, Op. 9, H. 95",,
51044,"Piano Sonata No. 15 in D Major, Op. 28 ""Pastoral""",III. Scherzo. Allegro vivace,
51047,"Piano Sonata No. 27 in E Minor, Op. 90",II. Nicht zu geschwind und sehr singbar vorgetragen,
51047,"Piano Sonata No. 27 in E Minor, Op. 90",I. Mit lebhaftigkeit und durchaus mit Empfindung und Ausdruck,
51050,"Piano Sonata No. 26 in E-Flat Major, Op. 81a ""Les adieux""",II. Das Abwesenheit. Andante espressivo,
51052,"Piano Sonata No. 25 in G Major, Op. 79",II. Andante,
51060,"Piano Sonata No. 2 in E Minor, Op. 75",II. Scherzo. Allegretto,
51060,"Theme & Variations in F-Sharp Minor, Op. 72","Var. 11, Allegretto",
51076,"Cello Suite No. 3 in C Major, BWV 1009 (Arr. for Viola)",I. Prelude,
51076,"Cello Suite No. 3 in C Major, BWV 1009 (Arr. for Viola)",V. Bourrées I & II,
51079,90+,,
51079,Piano Sonata,II. Andante,
51087,"2 Fragments After the Song of Roland, Op. 30","No. 1, The Saracens",
51089,"Piano Sonata No. 5 in C Minor, Op. 10 No. 1",II. Adagio molto,
51089,"Piano Sonata No. 5 in C Minor, Op. 10 No. 1",I. Molto allegro e con brio,
51090,"Piano Sonata No. 6 in F Major, Op. 10 No. 2",III. Finale. Presto,
51091,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique""",III. Rondo. Allegro,
51091,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathétique""",II. Adagio cantabile,
51093,"Variazioni Concertanti, Op. 130",,
51118,"Heilig, heilig ist Gott, TWV 2:6, Before the Sermon",III. Es strahlt die Pracht der göttlichen Starke,
51139,"Cello Concerto No. 2 in D Major, Hob. VIIb:2",III. Rondo. Allegro,
51139,"Cello Concerto No. 2 in D Major, Hob. VIIb:2",II. Adagio (Cadenza by E. Feuermann),
51140,"Cello Concerto No. 1 in C Major, Hob. VIIb:1",I. Moderato,
51144,"Clarinet Sonata No. 1, Op. 85",I. Allegro,
51154,"An der schönen blauen Donau, Op. 314",,
51154,"An der schönen, blauen Donau, Op. 314",,
51167,"Les confidences d'un joueur de clarinette, Op. 141",IX. Lamento,
51167,"Les confidences d'un joueur de clarinette, Op. 141",I. Romance de Kasper,
51169,"14 Pieces for Clarinet & Piano, Op. 178","VIII. Concentré, presque adagio, sans traîner cependant",
51170,"11 Monodies, Op. 216",I. Le faune,
51237,"Ave verum corpus, K. 618",,
51257,Symphonic Dances from West Side Story,VI. Meeting Scene,
51257,Symphonic Dances from West Side Story,"No. 5, Cha-Cha. Andantino con grazia",
51269,"20 Mazurkas, Op. 50","No. 10, Allegramente - Vivace - Con brio",
51342,Symphony No. 5 in C-Sharp Minor,IV. Adagietto. Sehr langsam,
51344,"Piano Concerto No. 2 in F Major, Op. 102",I. Allegro,
51344,"Piano Concerto No. 2 in F Major, Op. 102",III. Allegro,
51384,"Symphony No. 4 in E Minor, Op. 98",III. Allegro giocoso - Poco meno presto,
51389,"Violin Concerto in D Major, Op. 77",I. Allegro non troppo,
51391,"Tragic Overture, Op. 81",,
51398,"String Quartet No. 3 in B-Flat Major, Op. 67",III. Agitato (Allegretto non troppo),
51400,"String Sextet No. 1 in B-Flat Major, Op. 18",III. Scherzo. Allegro molto,
51405,"Piano Trio in A Major, Op. Posth.",I. Moderato,
51415,"Piano Sonata No. 1 in C Major, Op. 1",I. Allegro,
51415,"Piano Sonata No. 1 in C Major, Op. 1",II. Andante. Nach einem altdeutschen Minnelide,
51418,"13 Variations on a Hungarian Song in D Major, Op. 21 No. 2","Var. 13, —",
51420,"Scherzo in E-Flat Minor, Op. 4",,
51421,"16 Waltzes, Op. 39",No. 4 in E Minor,
51421,"16 Waltzes, Op. 39",No. 15 in A-Flat Major,
51421,"16 Waltzes, Op. 39",No. 14 in G-Sharp Minor,
51421,"16 Waltzes, Op. 39",No. 15 in A-Flat Major - No. 16 in C-Sharp Minor,
51423,"10 Hungarian Dances, WoO 1",No. 7 in F Major,
51423,"10 Hungarian Dances, WoO 1",No. 5 in F-Sharp Minor,
51428,"7 Fantasies, Op. 116","No. 1, Capriccio in D Minor",
51428,"7 Fantasies, Op. 116","No. 6, Intermezzo in E Major",
51429,"6 Klavierstücke, Op. 118","No. 3, Ballade in G Minor",
51429,"6 Klavierstücke, Op. 118","No. 5, Romanze in F Major",
51431,"Cello Sonata No. 1 in E Minor, Op. 38",I. Allegro non troppo,
51432,"Cello Sonata No. 2 in F Major, Op. 99",III. Allegro passionato,
51432,"Cello Sonata No. 2 in F Major, Op. 99",III. Allegro appassionato,
51433,"Clarinet Sonata in E-Flat Major, Op. 120 No. 2",II. Allegro appassionato,
51433,"Clarinet Sonata in E-Flat Major, Op. 120 No. 2",III. Andante con moto - Allegro,
51580,Ixor,,
51587,"Symphony No. 4 in A Minor, Op. 63",IV. Allegro,
51655,Serenade,III. Eryximachus,
51660,"Symphony No. 4 in E-Flat Major, WAB 104 ""Romantic""","I. Bewegt, nicht zu schnell",
51660,"Symphony No. 4 in E-Flat Major, WAB 104 ""Romantic"" (1878/1881 Version)","I. Bewegt, nicht zu schnell",
51671,"Symphony No. 3 in E-Flat Major, Op. 97 ""Rhenish""",I. Lebhaft,
51687,"Mazurka in A Minor, Op. 68 No. 2",,
51731,"Piano Concerto No. 2, Op. 30",III. Allegro moderato,
51746,"2 Poèmes symphoniques, Op. 43, No. 2, Vers la plage lointaine",,
51747,"Poèmes d'automne, Op. 13",I. Déclin d'amour,
51750,Chanson de Mélisande (Arr. C. Koechlin for Voice & Orchestra),,
51799,"Variations & Fugue on a Theme of Mozart, Op. 132 (Version for Orchestra)","Var. 6, Sostenuto quasi adagietto",
51875,"Livre d'orgue, I/38","No. 4, Chants d'oiseaux",
51875,"Livre d'orgue, I/38","No. 1, Reprises par interversion",
51878,"Livre du Saint Sacrement, I/53",VI. La manne et le pain de vie,
51939,"Piano Trio, Op. 88","IV. Toccata. Vivace, con forza",
52104,"Siegfried, WWV 86C, Act I",Fühltest du nie im finsteren Wald,
52104,"Siegfried, WWV 86C, Act II",Deine Hand hieltest du vom Hort?,
52104,"Götterdämmerung, WWV 86D, Act I",Höre mit Sinn,
52104,"Götterdämmerung, WWV 86D, Act I",Altgewohntes Geräusch,
52107,"Du bist die Ruh, Op. 59 No. 3, D. 776",,
52131,"Symphony No. 38 in D Major, K. 504 ""Prague""",I. Adagio - Allegro,
52223,"Fantasy in F Minor, Op. 49",,
52224,"Impromptu No. 2 in F-Sharp Major, Op. 36",,
52252,7 Canciones Populares Españolas (Arr. for Cello & Piano),"No. 1, El Paño Moruno",
52253,"Album für die Jugend, Op. 68, Book 1 ""Für Kleinere""","No. 15, Frühlingsgesang",
52254,"Waldszenen, Op. 82","No. 1, Eintritt",
52254,"Waldszenen, Op. 82","No. 7, Vogel als Prophet",
52254,"Waldszenen, Op. 82","No. 2, Jäger auf der Lauer",
52262,"Symphony No. 25 in G Minor, K. 183",I. Allegro con brio,
52310,"Mazurka in C-Sharp Minor, Op. 6 No. 2",,
52312,"Mazurka in F Minor, Op. 7 No. 3",,
52314,"Mazurka in B-Flat Major, Op. 17 No. 1",,
52316,"Mazurka in C Major, Op. 24 No. 2",,
52317,"Mazurka in A-Flat Major, Op. 24 No. 3 (2)",,
52324,"Mazurka in G Major, Op. 50 No. 1",,
52324,"Mazurka in A-Flat Major, Op. 50 No. 2",,
52329,"Mazurkas, Op. 63",No. 2 in F Minor,
52335,"Mazurka in G Major, Op. Posth.",,
52349,"Piano Concerto No. 2 in F Minor, Op. 21",III. Allegro vivace,
52351,"Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March""",I. Grave - Doppio movimento,
52351,"Piano Sonata No. 3 in B Minor, Op. 58",III. Largo - Cantabile,
52351,"Piano Sonata No. 3 in B Minor, Op. 58",II. Scherzo. Molto vivace,
52355,"Polonaise-fantaisie in A-Flat Major, Op. 61",,
52357,"24 Preludes, Op. 28",No. 1 in C Major,
52357,"24 Preludes, Op. 28",No. 3 in G Major,
52357,"24 Preludes, Op. 28",No. 20 in C Minor,
52357,"24 Preludes, Op. 28",No. 21 in B-Flat Major,
52357,"24 Préludes, Op. 28",No. 7 in A Major,
52357,"24 Préludes, Op. 28",No. 13 in F-Sharp Major,
52357,"Préludes, Op. 28",No. 6 in B Minor,
52358,"Prélude in C-Sharp Minor, Op. 45",,
52359,"Scherzo No. 1 in B Minor, Op. 20",,
52360,"Scherzo No. 3 in C-Sharp Minor, Op. 39",,
52363,"Introduction & Polonaise brillante in C Major, Op. 3",,
52376,"Tarantelle in A-Flat Major, Op. 43",,
52434,"Piano Concerto No. 1 in E Minor, Op. 11",II. Romanza. Larghetto,
52476,"Waltz in A Minor, Op. 34 No. 2 ""Valse brillante""",,
52477,"Waltz in A-Flat Major, Op. 42",,
52477,"Waltz in A-Flat Major, Op. 42 (2)",,
52480,"Waltz in B Minor, Op. 69 No. 2",,
52480,"Waltz in G-Flat Major, Op. 70 No. 1",,
52484,"Waltz in E-Flat Major, Op. Posth., B. 46",,
52593,She Is far from the Land,,
52657,"Scherzo, Op. 2, Sz. 28 ""Burlesque""",,
52800,"At the End of the Day (From ""Les Miserables"")",,
52801,"Prélude à l'après-midi d'un faune, L. 86",,
52817,"12 Études, L. 136, Book 1","No. 4, Pour les sixtes",
52817,"Pour le piano, L. 95",I. Prélude,
52819,"Images, Book 2, L. 111","No. 2, Et la lune descend sur le temple qui fut",
52822,"Préludes, Book 2, L. 123","No. 5, Bruyères",
52822,"Préludes, Book 2, L. 123","No. 12, Feux d'artifice",
52822,"Préludes, Book 2, L. 123","No. 3, La puerta del vino",
52822,"Préludes, Book 2, L. 123","No. 9, Hommage à S. Pickwick Esq. P.P.M.P.C",
53037,Skärgårdsskisser,III. Idyll. Lento sostenuto,
53108,"Pagliacci, Act I","Don, Din, Don, Din",
53108,"Pagliacci, Act I",Orchestral Introduction,
53157,"Czech Suite, Op. 39, B. 93","I. Preludium ""Pastorale"". Allegro moderato",
53159,"Slavonic Dances, Series 2, Op. 72, B. 147",No. 10 in E Minor,
53169,General's Order,,
53180,"Slavonic Dances, Series 1, Op. 46, B. 78 (Version for Piano Duo)",No. 7 in C Minor,
53273,"Leonore Overture No. 3, Op. 72b",,
53280,"12 Variations in E-Flat Major, Hob. XVII:3",,
53329,The Day Soon,,
53469,"Cello Concerto in E Minor, Op. 85",III. Adagio,
53469,"Cello Concerto in E Minor, Op. 85",II. Lento - Allegro molto,
53469,"Cello Concerto in E Minor, Op. 85",IV. Allegro - Moderato - Allegro ma non troppo,
53470,"Serenade in E Minor, Op. 20",III. Allegretto,
53526,"Recorder Sonata in G Minor, Op. 1 No. 3",III. Largo,
53526,"Recorder Sonata in G Minor, Op. 1 No. 3",IV. Gavotta,
53573,Silueta,,
53576,"Leonore Overture No. 2, Op. 72a",,
53613,Capricho arabe,,
53614,Recuerdos de la Alhambra,,
53661,Violin Concerto,I. Impulsivo,
53707,Bailarico,,
53752,Koriya Chaturi More,,
53836,Gamonal,,
53945,"12 Études dans les tons mineurs, Op. 39","No. 1, Comme le vent. Prestissimamente",
54063,24 Preludes & Fugues,Fugue No. 2 in A Minor,
54063,24 Preludes & Fugues,Fugue No. 4 in E Minor,
54063,24 Preludes & Fugues,Fugue No. 7 in A Major,
54063,24 Preludes & Fugues,Prelude No. 5 in D Major,
54063,24 Preludes & Fugues,Prelude No. 7 in A Major,
54063,24 Preludes & Fugues,Fugue No. 17 in A-Flat Major,
54063,24 Preludes & Fugues,Prelude No. 10 in C-Sharp Minor,
54072,"Chansons madécasses, M. 78","No. 2, Aoua!",
54122,"Alla polacca in D Major, Wq. 116 No. 6, H. 217",,
54164,"Piano Concerto No. 11 in F Major, K. 413",II. Larghetto,
54167,"Piano Concerto No. 17 in G Major, K. 453",III. Allegretto,
54168,"Piano Concerto No. 20 in D Minor, K. 466",II. Romance,
54169,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan""",I. Allegro maestoso,
54169,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan""",III. Allegro vivace assai,
54169,"Piano Concerto No. 22 in E-Flat Major, K. 482",I. Allegro,
54171,"Piano Concerto No. 25 in C Major, K. 503",II. Andante,
54171,"Piano Concerto No. 26 in D Major, K. 537 ""Coronation""",I. Allegro,
54171,"Piano Concerto No. 26 in D Major, K. 537 ""Coronation""",II Larghetto,
54188,"Piano Concerto in A Minor, Op. 54",II. Intermezzo. Andantino grazioso,
54188,"Piano Concerto in A Minor, Op. 16",II. Adagio,
54188,"Piano Concerto in A Minor, Op. 16",I. Allegro molto moderato (Cadenza) [Excerpt],
54220,Draka (Arr. O. Saetran),,
54281,"Symphonic Dances, Op. 64",II. Allegretto grazioso,
54290,"Violin Sonata No. 2 in G Major, Op. 13",II. Allegretto tranquillo,
54290,"Violin Sonata No. 2 in G Major, Op. 13",I. Lento doloroso. Allegro vivace,
54290,"Violin Sonata No. 3 in C Minor, Op. 45",II. Allegretto espressivo alla romanza,
54293,"Lyric Pieces, Book 3, Op. 43","No. 6, To the Spring",
54295,"Lyric Pieces, Book 5, Op. 54","No. 3, March of the Trolls",
54295,"Lyric Pieces, Book 6, Op. 57","No. 6, Homesickness",
54297,"Lyric Pieces, Book 8, Op. 65","No. 6, Wedding Day at Troldhaugen",
54297,"Lyrische Stücke, Book 8, Op. 65","No. 6, Wedding Day at Troldhaugen",
54298,"Lyric Pieces, Book 10, Op. 71","No. 5, Halling",
54298,"Lyric Pieces, Book 10, Op. 71","No. 2, Summer's Eve",
54329,"Symphony No. 41 in C Major, K. 551 ""Jupiter""",IV. Molto allegro,
54329,"Symphony No. 41 in C Major, K. 551 ""Jupiter""",III. Menuetto. Allegretto,
54342,"Variations in F Minor, Hob. XVII:6 ""Un piccolo divertimento""",,
54366,Romanze in A Minor,,
54409,Symphony No. 4 in G Major,"III. Ruhevoll, poco adagio",
54411,"Davidsbündlertänze, Op. 6","No. 2, Innig",
54415,"Piano Concerto in G Major, M. 83",III. Presto,
54428,"Wir danken dir, Gott, BWV 29",Sinfonia,
54477,"4 Ernste Gesänge, Op. 121","No. 3, O Tod, wie bitter bist du",
54526,Dyvekes Sange,"Se, nu er sommeren kommen",
54568,"Polonaise in D Minor, Op. 71 No. 1",,
54604,Piæ Cantiones,Mirum si læteris,
54646,"L'isle joyeuse, L. 106",,
54766,"Elijah, Op. 70, MWV A25","Höre, Israel, höre des Herrn Stimme",
54811,La Paloma,,
54887,"Le prophète, Act II",Gémissant sous le joug et sous la tyrannie,
54887,"Le prophète, Act III",Ballet. Par toi Munster nous fut promis,
54887,"Le prophète, Act IV",Courbons notre tête,
54890,"Variations drôlatiques, Op. 26",,
54982,"Organ Concerto No. 2 in B-Flat Major, Op. 4 No. 2, HWV 290","I. A tempo ordinario, e staccato",
54983,"Organ Concerto No. 5 in F Major, Op. 4 No. 5, HWV 293",II. Allegro,
55165,"Symphony No. 5 in C Minor, Op. 67",IV. Allegro,
55165,"Symphony No. 5 in C Minor, Op. 67",III. Allegro,
55210,"Erlkönig, Op. 1, D. 328",,
55231,Pavan & Galliard,Galliard,
55244,"High Noon (From ""High Noon"")",,
55284,"Symphony No. 4 in F Minor, Op. 36, TH 27",IV. Allegro con fuoco,
55284,"Symphony No. 4 in F Minor, Op. 36, TH 27",II. Andantino in modo di canzona,
55284,"Symphony No. 4 in F Minor, Op. 36, TH 27",I. Andante sostenuto - Moderato con anima,
55322,"4 Songs, Op. 110 ""Skumring""","No. 4, Under sneen begraves det visnede graes",
55323,Essai acoustique III,IV. —,
55334,"St. Matthew Passion, BWV 244 (Excerpts)","No. 32, Mir hat die Welt trüglich gericht'",
55334,"St. Matthew Passion, BWV 244 (Excerpts)","No. 25, Was mein Gott will, das g'scheh allzeit",
55334,"St. Matthew Passion, BWV 244, Pt. 1",Er sprach,
55334,"St. Matthew Passion, BWV 244, Pt. 1",Ja nicht auf das Fest,
55334,"St. Matthew Passion, BWV 244, Pt. 1",Petrus aber antwortete,
55334,"St. Matthew Passion, BWV 244, Pt. 1",Er antwortete und sprach,
55334,"St. Matthew Passion, BWV 244, Pt. 1","Erkenne mich, mein Huter",
55334,"St. Matthew Passion, BWV 244, Pt. 1",Wiewohl mein Herz in Tranen schwimmt,
55334,"St. Matthew Passion, BWV 244, Pt. 1",Da versammelten sich die Hohenpriester,
55334,"St. Matthew Passion, BWV 244, Pt. 1",Der Heiland fallt vor seinem Vater nieder,
55334,"St. Matthew Passion, BWV 244, Pt. 2",Auf das Fest aber hatte der Landpfleger,
55334,"St. Matthew Passion, BWV 244, Pt. 3",Da nahmen die Kriegsknechte,
55334,"St. Matthew Passion, BWV 244, Pt. 3",Und da sie ihn verspottet hatten,
55334,"St. Matthew Passion, BWV 244, Pt. 3","Und siehe da, der Vorhang im Tempel zerriss",
55488,"Sonata Clásica ""Hommage à Fernando Sor""",I. Allegro,
55524,"Ariadne auf Naxos, Op. 60, TrV 228a","Großmächtige Prinzessin, wer verstünde nicht",
55622,Le chalet,Overture,
55718,"Keyboard Sonata in F Major, Hob. XVI.29",III. Tempo di menuet,
55725,Adon Haselihot,,
55773,Tuba Concerto,III. Allegro,
55981,Guillaume Tell,Overture,
56028,"Variations on a Theme by Haydn, Op. 56a ""St. Anthony Variations""","Var. 8, Presto non troppo",
56156,Serenata,,
56172,Wilhem Tell Fantasie (After G. Rossini),,
56213,"Nouvelles sonatines No. 4, Op. 87",I. Animé,
56224,6 Mélodies,"No. 3, Andante",
56224,6 Mélodies,"No. 5, Andante cantabile",
56317,"Clair de lune, Op. 46 No. 2",,
56480,"Himmelfahrtsoratorium, BWV 11","VIII. Jesu, deine Gnadenblicke",
56693,"Eugene Onegin, Op. 24, TH 5",Waltz,
56693,"Eugene Onegin, Op. 24, TH 5",Polonaise,
56697,Guillaume Tell,Overture,
56786,"Flute Sonata in D Major, Op. 94",IV. Allegro con brio,
56835,"Piano Sonata No. 2 in A Major, Op. 2 No. 2",II. Largo appassionato,
56835,"Piano Sonata No. 3 in C Major, Op. 2 No. 3",IV. Allegro assai,
56835,"Piano Sonata No. 3 in C Major, Op. 2 No. 3",IV. Assai allegro,
56835,"Piano Sonata No. 3 in C Major, Op. 2 No. 3",III. Scherzo. Allegro,
56837,"Les heures persanes, Op. 65bis (Arr. for Orchestra)","XV. La paix du soir, au cimetière",
56926,"6 Gedichte, Op. 36","No. 2, Standchen",
57117,"Romance oubliée, S. 132",,
57294,"O vos omnes, qui transitis per viam",,
57489,"Violin Concerto in D Major, Op. 61",III. Rondo. Allegro,
57545,"Maski, Op. 34","No. 2, Blazen Tantris",
57579,"Goldberg Variations, BWV 988",Aria,
57579,"Goldberg Variations, BWV 988",Var. 4,
57579,"Goldberg Variations, BWV 988",Var. 20,
57579,"Goldberg Variations, BWV 988",Var. 23,
57579,"Goldberg Variations, BWV 988",Var. 28,
57579,"Goldberg Variations, BWV 988","Var. 5, —",
57579,"Goldberg Variations, BWV 988","Var. 17, —",
57579,"Goldberg Variations, BWV 988",Aria da capo,
57579,"Goldberg Variations, BWV 988","Var. 26, à 2 Clav.",
57579,"Goldberg Variations, BWV 988","Var. 9, Canone alla terza",
57579,"Goldberg Variations, BWV 988","Var. 18, Canone alla sexta",
57579,"Goldberg Variations, BWV 988","Var. 5, à 1 ô vero 2 Clav.",
57579,"Goldberg Variations, BWV 988","Var. 10, Fughetta. à 1 Clav.",
57579,"Goldberg Variations, BWV 988","Var. 21, Canone alla settima",
57579,"Goldberg Variations, BWV 988","Var. 15, Canone alla quinta. à 1 Clav.",
57580,"Concerto symphonique No. 3 in E-Flat Major, Op. 45",I. Allegro,
57814,"Luci care, luci belle, K. 346",,
57898,"Variations, Op. 24a","Var. 2, —",
57935,"Concerto for 2 Cellos in G Minor, RV 531",II. Largo,
57988,"5 Esquisses, Op. 114","No. 2, Talvikuva",
58031,"Belshazzar, HWV 61, Act II",Regard Thyself,
58057,"Suite No. 2 in D Minor, FbWV 602",I. Allemanda,
58073,"English Suite No. 2 in A Minor, BWV 807",V. Bourrées I & II,
58073,"English Suite No. 2 in A Minor, BWV 807",VII. Bourrée I (Da capo),
58073,"English Suite No. 1 in A Major, BWV 806",II. Allemande,
58074,"English Suite No. 5 in E Minor, BWV 810",III. Courante,
58075,"English Suite No. 6 in D Minor, BWV 811",I. Prélude,
58077,In the Woods,I. Wainscot Pond (After a Painting by Cornelia Foss),
58079,"Keyboard Sonata in E Major, Kk. 380",,
58087,"Symphony No. 2 in D Major, Op. 43",III. Vivacissimo,
58091,Diferencias Sobre la Folia de España y Fuga,"Var. 7, Andante",
58141,5 Tango Sensations,"No. 4, Despertar",
58194,"Violin Sonata in F Major, Op. 1 No. 12, HWV 370",II. Allegro,
58242,"Lady Hunsdon's Puffe, P. 54",,
58269,"Violin Sonata in G Minor, B.g5 ""The Devil's Trill""",I. Larghetto affettuoso,
58337,Living Room Music,II. Story,
58348,To Be Sung upon the Water,IV. Fair Is the Swan,
58407,"Souvenirs, Op. 28",I. Waltz,
58600,"Let Us Garlands Bring, Op. 18","No. 4, O Mistress Mine",
58602,"Village Scenes, Sz. 79","No. 1, Wedding",
58657,"Winterreise, Op. 89, D. 911","No. 6, Wasserflut",
58657,"Winterreise, Op. 89, D. 911","No. 24, Der Leiermann",
58705,"Dance Suite, Sz. 77",I. Moderato,
58705,"Dance Suite, Sz. 77",II. Allegro molto,
58771,"8 Minuets, K. 315a",,
58863,"The Planets, Op. 32","I. Mars, the Bringer of War",
58875,Estudios de Concierto,XII. La Vida Sonríe,
58889,"Symphony No. 2 in C Minor ""Resurrection""",I. Allegro maestoso,
58889,"Symphony No. 2 in C Minor ""Resurrection""",V. Im Tempo des Scherzos,
58889,"Symphony No. 8 in E-Flat Major ""Symphony of a Thousand""","Pt. 2g, Final Scene from Faust. Komm! Hebe dich zu höhern Sphären!",
58889,"Symphony No. 8 in E-Flat Major ""Symphony of a Thousand""","Pt. 1b, Veni, creator spiritus. Interlude - Infirma nostri corporis",
58924,"Toccata in C Major, Op. 7",,
58929,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55, TH 55",II. Andantino semplice,
58950,One O'Clock Jump (Radio Version),,
59019,"String Quartet in F Major, Op. 96, B. 179 ""American""",III. Molto vivace,
59045,"Symphony No. 19 in D Major, Hob. I:19",II. Andante,
59045,"Symphony No. 19 in D Major, Hob. I:19",III. Presto,
59082,"6 German Dances, K. 571",No. 5 in B-Flat Major,
59107,"Piano Sonata No. 5 in G Major, K. 283",I. Allegro,
59107,"Piano Sonata No. 5 in G Major, K. 283",II. Andante,
59107,"Piano Sonata No. 5 in G Major, K. 283",III. Presto,
59126,"The Queen of Spades, Op. 68, TH 10",Uzh pólnoch blízitsya,
59126,"The Queen of Spades, Op. 68, TH 10","Forgive Me, Heavenly Creature",
59126,Edgar,"Orgia, chimera dall'occhio vitreo",
59131,"Symphony No. 5 in C Minor, S. 464/5 (After L. van Beethoven)",IV. Allegro,
59156,"Violin Concerto No. 1 in B-Flat Major, K. 207",III. Presto,
59184,El amor brujo,VIII. Danza del ritual del fuego fatuo (Version for Piano),
59213,"2 Pieces from Kuolema, Op. 44","No. 1, Valse triste",
59346,"Piano Concerto No. 4 in G Major, Op. 58",III. Rondo. Vivace,
59453,"Bluebeard's Castle, Op. 11, Sz. 48",Hearts That I Have Loved and Cherished,
59465,"Keyboard Sonata in A Major, Kk. 208",,
59476,"Keyboard Sonata in E-Flat Major, Hob. XVI:49",III. Finale. Tempo di minuet,
59476,"Keyboard Sonata in C Major, Op. 79, Hob. XVI.50",II. Adagio,
59482,"Keyboard Sonata in D Major, Hob. XVI:51",II. Finale. Presto,
59505,"String Quartet in B Minor, Op. 33 No. 1, Hob. III:37",III. Andante,
59506,"String Quartet in C Major, Op. 33 No. 3, Hob. III:39 ""Bird""",II. Scherzo. Allegretto,
59507,"String Quartet in D Major, Op. 33 No. 6, Hob. III:42",II. Andante,
59519,"Symphony No. 8 in F Major, S. 464/8 (After L. van Beethoven)",IV. Allegro vivace,
59533,"String Quartet in G Minor, Op. 20 No. 3, Hob. III:33",II. Minuet. Allegretto,
59551,"6 Bagatelles, Op. 126","No. 3, Andante",
59551,"6 Bagatelles, Op. 126","No. 1, Andante con moto",
59551,"11 Bagatelles, Op. 119",No. 10 in A Major,
